ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nhl.p.3614,Mark,Giordano,D,CGY,MON,CGY@MON,7:00PM EST,21,7.3," "," "
nhl.p.4263,Mikael,Backlund,LW,CGY,MON,CGY@MON,7:00PM EST,16,4.2," "," "
nhl.p.4306,Milan,Lucic,LW,CGY,MON,CGY@MON,7:00PM EST,10,2.5," "," "
nhl.p.4568,Michael,Stone,D,CGY,MON,CGY@MON,7:00PM EST,11,3.7," "," "
nhl.p.4732,T.J.,Brodie,D,CGY,MON,CGY@MON,7:00PM EST,12,4.0," "," "
nhl.p.4748,Zac,Rinaldo,LW,CGY,MON,CGY@MON,7:00PM EST,10,2.4," "," "
nhl.p.4771,Travis,Hamonic,D,CGY,MON,CGY@MON,7:00PM EST,17,4.5," "," "
nhl.p.4854,Cam,Talbot,G,CGY,MON,CGY@MON,7:00PM EST,30,11.9," ",No
nhl.p.5470,Johnny,Gaudreau,RW,CGY,MON,CGY@MON,7:00PM EST,22,6.4," "," "
nhl.p.5480,Tobias,Rieder,LW,CGY,MON,CGY@MON,7:00PM EST,10,1.9," "," "
nhl.p.5701,Mark,Jankowski,C,CGY,MON,CGY@MON,7:00PM EST,10,0.4," "," "
nhl.p.5984,Elias,Lindholm,C,CGY,MON,CGY@MON,7:00PM EST,22,6.8," "," "
nhl.p.5985,Sean,Monahan,C,CGY,MON,CGY@MON,7:00PM EST,20,6.2," "," "
nhl.p.6370,Sam,Bennett,LW,CGY,MON,CGY@MON,7:00PM EST,10,3.0," "," "
nhl.p.6741,Derek,Ryan,C,CGY,MON,CGY@MON,7:00PM EST,15,4.8," "," "
nhl.p.6747,Noah,Hanifin,D,CGY,MON,CGY@MON,7:00PM EST,15,4.0," "," "
nhl.p.6795,Rasmus,Andersson,D,CGY,MON,CGY@MON,7:00PM EST,10,3.7," "," "
nhl.p.6802,Oliver,Kylington,D,CGY,MON,CGY@MON,7:00PM EST,10,1.6," "," "
nhl.p.6908,Andrew,Mangiapane,RW,CGY,MON,CGY@MON,7:00PM EST,10,3.3," "," "
nhl.p.7108,David,Rittich,G,CGY,MON,CGY@MON,7:00PM EST,30,11.8," ",Yes
nhl.p.7114,Matthew,Tkachuk,LW,CGY,MON,CGY@MON,7:00PM EST,21,7.0," "," "
nhl.p.7164,Dillon,Dube,RW,CGY,MON,CGY@MON,7:00PM EST,10,3.4," "," "
nhl.p.7531,Juuso,Valimaki,D,CGY,MON,CGY@MON,7:00PM EST,10,3.3,IR," "
nhl.p.2944,Ilya,Kovalchuk,LW,MON,CGY,CGY@MON,7:00PM EST,15,4.9," "," "
nhl.p.3387,Shea,Weber,D,MON,CGY,CGY@MON,7:00PM EST,22,8.4," "," "
nhl.p.3698,Nate,Thompson,C,MON,CGY,CGY@MON,7:00PM EST,10,2.4," "," "
nhl.p.3782,Carey,Price,G,MON,CGY,CGY@MON,7:00PM EST,28,10.1," ",Yes
nhl.p.4544,Dale,Weise,RW,MON,CGY,CGY@MON,7:00PM EST,10,0.2," "," "
nhl.p.4633,Marco,Scandella,D,MON,CGY,CGY@MON,7:00PM EST,10,3.8," "," "
nhl.p.4792,Tomas,Tatar,LW,MON,CGY,CGY@MON,7:00PM EST,17,6.8," "," "
nhl.p.4849,Jeff,Petry,D,MON,CGY,CGY@MON,7:00PM EST,17,5.9," "," "
nhl.p.5043,Jordan,Weal,RW,MON,CGY,CGY@MON,7:00PM EST,10,2.5," "," "
nhl.p.5263,Ben,Chiarot,D,MON,CGY,CGY@MON,7:00PM EST,16,5.6,DTD," "
nhl.p.5387,Phillip,Danault,C,MON,CGY,CGY@MON,7:00PM EST,17,6.2," "," "
nhl.p.5435,Nick,Cousins,LW,MON,CGY,CGY@MON,7:00PM EST,10,3.9," "," "
nhl.p.5795,Brett,Kulak,D,MON,CGY,CGY@MON,7:00PM EST,10,2.6," "," "
nhl.p.5991,Max,Domi,C,MON,CGY,CGY@MON,7:00PM EST,19,6.5," "," "
nhl.p.6035,Artturi,Lehkonen,LW,MON,CGY,CGY@MON,7:00PM EST,15,5.0," "," "
nhl.p.7084,Charlie,Lindgren,G,MON,CGY,CGY@MON,7:00PM EST,27,8.7," ",No
nhl.p.7207,Victor,Mete,D,MON,CGY,CGY@MON,7:00PM EST,10,3.9," "," "
nhl.p.7528,Nick,Suzuki,C,MON,CGY,CGY@MON,7:00PM EST,16,4.8," "," "
nhl.p.7540,Ryan,Poehling,LW,MON,CGY,CGY@MON,7:00PM EST,10,0.7," "," "
nhl.p.7602,Cale,Fleury,D,MON,CGY,CGY@MON,7:00PM EST,10,2.1," "," "
nhl.p.7901,Jesperi,Kotkaniemi,C,MON,CGY,CGY@MON,7:00PM EST,10,2.6," "," "
nhl.p.5120,Brendan,Gallagher,RW,MON,CGY,CGY@MON,7:00PM EST,22,8.6,DTD," "
nhl.p.5377,Joel,Armia,RW,MON,CGY,CGY@MON,7:00PM EST,17,7.1,IR," "
nhl.p.5566,Matthew,Peca,C,MON,CGY,CGY@MON,7:00PM EST,10,0.1," "," "
nhl.p.5982,Jonathan,Drouin,LW,MON,CGY,CGY@MON,7:00PM EST,15,7.1,IR," "
nhl.p.4677,Paul,Byron,LW,MON,CGY,CGY@MON,7:00PM EST,10,2.4,IR," "
nhl.p.8164,Joel,Teasdale,LW,MON,CGY,CGY@MON,7:00PM EST,10,0.0," "," "
nhl.p.3162,Johnny,Boychuk,D,NYI,NYR,NYI@NYR,7:00PM EST,13,4.6," "," "
nhl.p.3936,Thomas,Greiss,G,NYI,NYR,NYI@NYR,7:00PM EST,23,11.8," ",No
nhl.p.3987,Derick,Brassard,C,NYI,NYR,NYI@NYR,7:00PM EST,11,4.5," "," "
nhl.p.4003,Semyon,Varlamov,G,NYI,NYR,NYI@NYR,7:00PM EST,36,12.0," ",Yes
nhl.p.4482,Josh,Bailey,RW,NYI,NYR,NYI@NYR,7:00PM EST,13,4.4," "," "
nhl.p.4498,Jordan,Eberle,RW,NYI,NYR,NYI@NYR,7:00PM EST,18,5.2," "," "
nhl.p.4696,Nick,Leddy,D,NYI,NYR,NYI@NYR,7:00PM EST,14,5.1," "," "
nhl.p.4754,Matt,Martin,LW,NYI,NYR,NYI@NYR,7:00PM EST,10,2.4," "," "
nhl.p.4773,Casey,Cizikas,C,NYI,NYR,NYI@NYR,7:00PM EST,13,4.6,DTD," "
nhl.p.4990,Brock,Nelson,C,NYI,NYR,NYI@NYR,7:00PM EST,19,7.3," "," "
nhl.p.5083,Tom,Kuhnhackl,RW,NYI,NYR,NYI@NYR,7:00PM EST,10,3.1," "," "
nhl.p.5402,Scott,Mayfield,D,NYI,NYR,NYI@NYR,7:00PM EST,16,5.1," "," "
nhl.p.5672,Leo,Komarov,RW,NYI,NYR,NYI@NYR,7:00PM EST,10,2.8," "," "
nhl.p.5928,Anders,Lee,LW,NYI,NYR,NYI@NYR,7:00PM EST,18,6.4," "," "
nhl.p.5994,Ryan,Pulock,D,NYI,NYR,NYI@NYR,7:00PM EST,17,6.5," "," "
nhl.p.6283,Ross,Johnston,LW,NYI,NYR,NYI@NYR,7:00PM EST,10,1.7," "," "
nhl.p.6371,Michael,Dal Colle,RW,NYI,NYR,NYI@NYR,7:00PM EST,10,1.8," "," "
nhl.p.6476,Devon,Toews,D,NYI,NYR,NYI@NYR,7:00PM EST,14,4.6," "," "
nhl.p.6758,Mathew,Barzal,C,NYI,NYR,NYI@NYR,7:00PM EST,23,7.8," "," "
nhl.p.6770,Anthony,Beauvillier,LW,NYI,NYR,NYI@NYR,7:00PM EST,11,5.1," "," "
nhl.p.7910,Noah,Dobson,D,NYI,NYR,NYI@NYR,7:00PM EST,10,2.2," "," "
nhl.p.5756,Adam,Pelech,D,NYI,NYR,NYI@NYR,7:00PM EST,11,4.5,IR," "
nhl.p.4194,Cal,Clutterbuck,RW,NYI,NYR,NYI@NYR,7:00PM EST,10,3.5,IR," "
nhl.p.2645,Henrik,Lundqvist,G,NYR,NYI,NYI@NYR,7:00PM EST,29,10.3," ",Yes
nhl.p.3789,Marc,Staal,D,NYR,NYI,NYI@NYR,7:00PM EST,10,3.7,DTD," "
nhl.p.4266,Brendan,Smith,LW,NYR,NYI,NYI@NYR,7:00PM EST,10,1.4," "," "
nhl.p.4567,Micheal,Haley,LW,NYR,NYI,NYI@NYR,7:00PM EST,10,0.4," "," "
nhl.p.4699,Chris,Kreider,LW,NYR,NYI,NYI@NYR,7:00PM EST,18,6.5," "," "
nhl.p.5035,Greg,McKegg,LW,NYR,NYI,NYI@NYR,7:00PM EST,10,1.6," "," "
nhl.p.5130,Jesper,Fast,RW,NYR,NYI,NYI@NYR,7:00PM EST,14,4.2," "," "
nhl.p.5366,Ryan,Strome,C,NYR,NYI,NYI@NYR,7:00PM EST,20,6.8," "," "
nhl.p.5367,Mika,Zibanejad,C,NYR,NYI,NYI@NYR,7:00PM EST,29,10.2," "," "
nhl.p.5438,Steven,Fogarty,RW,NYR,NYI,NYI@NYR,7:00PM EST,10,0.5," "," "
nhl.p.5689,Jacob,Trouba,D,NYR,NYI,NYI@NYR,7:00PM EST,17,6.4," "," "
nhl.p.5708,Brady,Skjei,D,NYR,NYI,NYI@NYR,7:00PM EST,14,5.2," "," "
nhl.p.6055,Pavel,Buchnevich,RW,NYR,NYI,NYI@NYR,7:00PM EST,15,5.0," "," "
nhl.p.6385,Tony,DeAngelo,D,NYR,NYI,NYI@NYR,7:00PM EST,18,7.1," "," "
nhl.p.6486,Igor,Shesterkin,G,NYR,NYI,NYI@NYR,7:00PM EST,30,18.5," ",No
nhl.p.6728,Artemi,Panarin,LW,NYR,NYI,NYI@NYR,7:00PM EST,31,11.2," "," "
nhl.p.7135,Brett,Howden,C,NYR,NYI,NYI@NYR,7:00PM EST,10,3.0," "," "
nhl.p.7145,Libor,Hajek,D,NYR,NYI,NYI@NYR,7:00PM EST,10,2.7," "," "
nhl.p.7157,Ryan,Lindgren,D,NYR,NYI,NYI@NYR,7:00PM EST,10,3.1," "," "
nhl.p.7174,Adam,Fox,D,NYR,NYI,NYI@NYR,7:00PM EST,17,5.9," "," "
nhl.p.7536,Filip,Chytil,C,NYR,NYI,NYI@NYR,7:00PM EST,13,5.1," "," "
nhl.p.7736,Alexandar,Georgiev,G,NYR,NYI,NYI@NYR,7:00PM EST,31,11.7," ",No
nhl.p.8280,Kaapo,Kakko,RW,NYR,NYI,NYI@NYR,7:00PM EST,11,3.2," "," "
nhl.p.6400,Brendan,Lemieux,LW,NYR,NYI,NYI@NYR,7:00PM EST,10,4.0,IR," "
nhl.p.1700,Zdeno,Chara,D,BOS,PHI,BOS@PHI,7:00PM EST,10,4.9," "," "
nhl.p.3383,Patrice,Bergeron,C,BOS,PHI,BOS@PHI,7:00PM EST,33,10.5," "," "
nhl.p.3734,Jaroslav,Halak,G,BOS,PHI,BOS@PHI,7:00PM EST,35,13.5," ",No
nhl.p.3798,Tuukka,Rask,G,BOS,PHI,BOS@PHI,7:00PM EST,30,13.7," ",Yes
nhl.p.3861,David,Backes,RW,BOS,PHI,BOS@PHI,7:00PM EST,10,2.5," "," "
nhl.p.3898,David,Krejci,C,BOS,PHI,BOS@PHI,7:00PM EST,19,6.6," "," "
nhl.p.4351,Brad,Marchand,LW,BOS,PHI,BOS@PHI,7:00PM EST,31,10.7," "," "
nhl.p.4701,John,Moore,D,BOS,PHI,BOS@PHI,7:00PM EST,10,3.2," "," "
nhl.p.4858,Steven,Kampfer,D,BOS,PHI,BOS@PHI,7:00PM EST,11,3.6," "," "
nhl.p.4988,Charlie,Coyle,C,BOS,PHI,BOS@PHI,7:00PM EST,14,4.7," "," "
nhl.p.5063,Joakim,Nordstrom,LW,BOS,PHI,BOS@PHI,7:00PM EST,10,2.3," "," "
nhl.p.5095,Chris,Wagner,RW,BOS,PHI,BOS@PHI,7:00PM EST,10,2.1," "," "
nhl.p.5412,Brett,Ritchie,RW,BOS,PHI,BOS@PHI,7:00PM EST,10,2.3," "," "
nhl.p.5498,Sean,Kuraly,C,BOS,PHI,BOS@PHI,7:00PM EST,10,3.2," "," "
nhl.p.5632,Torey,Krug,D,BOS,PHI,BOS@PHI,7:00PM EST,19,7.4," "," "
nhl.p.5776,Matt,Grzelcyk,D,BOS,PHI,BOS@PHI,7:00PM EST,13,4.3,DTD," "
nhl.p.6391,David,Pastrnak,RW,BOS,PHI,BOS@PHI,7:00PM EST,35,13.1," "," "
nhl.p.6484,Danton,Heinen,RW,BOS,PHI,BOS@PHI,7:00PM EST,13,4.3," "," "
nhl.p.6514,Anders,Bjork,LW,BOS,PHI,BOS@PHI,7:00PM EST,10,3.3," "," "
nhl.p.6756,Jake,DeBrusk,LW,BOS,PHI,BOS@PHI,7:00PM EST,18,6.1," "," "
nhl.p.6779,Brandon,Carlo,D,BOS,PHI,BOS@PHI,7:00PM EST,11,4.3," "," "
nhl.p.7122,Charlie,McAvoy,D,BOS,PHI,BOS@PHI,7:00PM EST,16,5.3," "," "
nhl.p.7882,Par,Lindholm,C,BOS,PHI,BOS@PHI,7:00PM EST,10,1.9," "," "
nhl.p.6113,Connor,Clifton,D,BOS,PHI,BOS@PHI,7:00PM EST,10,2.3,IR," "
nhl.p.6159,Anton,Blidh,LW,BOS,PHI,BOS@PHI,7:00PM EST,10,1.0,IR," "
nhl.p.5615,Kevan,Miller,D,BOS,PHI,BOS@PHI,7:00PM EST,11,3.9,IR," "
nhl.p.3805,Matt,Niskanen,D,PHI,BOS,BOS@PHI,7:00PM EST,12,4.9," "," "
nhl.p.3998,Chris,Stewart,RW,PHI,BOS,BOS@PHI,7:00PM EST,10,-2.0,DTD," "
nhl.p.4002,Claude,Giroux,LW,PHI,BOS,BOS@PHI,7:00PM EST,22,7.3," "," "
nhl.p.4136,Brian,Elliott,G,PHI,BOS,BOS@PHI,7:00PM EST,22,8.0," ",No
nhl.p.4241,James,van Riemsdyk,LW,PHI,BOS,BOS@PHI,7:00PM EST,14,5.1," "," "
nhl.p.4246,Jakub,Voracek,RW,PHI,BOS,BOS@PHI,7:00PM EST,17,6.1," "," "
nhl.p.4888,Justin,Braun,D,PHI,BOS,BOS@PHI,7:00PM EST,11,3.1,DTD," "
nhl.p.4984,Kevin,Hayes,C,PHI,BOS,BOS@PHI,7:00PM EST,15,5.1," "," "
nhl.p.5004,Tyler,Pitlick,RW,PHI,BOS,BOS@PHI,7:00PM EST,10,2.7," "," "
nhl.p.5369,Sean,Couturier,C,PHI,BOS,BOS@PHI,7:00PM EST,22,7.5," "," "
nhl.p.5700,Scott,Laughton,C,PHI,BOS,BOS@PHI,7:00PM EST,10,3.7," "," "
nhl.p.5769,Shayne,Gostisbehere,D,PHI,BOS,BOS@PHI,7:00PM EST,11,4.0,DTD," "
nhl.p.5966,Michael,Raffl,C,PHI,BOS,BOS@PHI,7:00PM EST,10,2.6," "," "
nhl.p.6021,Robert,Hagg,D,PHI,BOS,BOS@PHI,7:00PM EST,12,3.5," "," "
nhl.p.6383,Travis,Sanheim,D,PHI,BOS,BOS@PHI,7:00PM EST,10,3.7," "," "
nhl.p.6417,Nicolas,Aube-Kubel,RW,PHI,BOS,BOS@PHI,7:00PM EST,10,3.6," "," "
nhl.p.6749,Ivan,Provorov,D,PHI,BOS,BOS@PHI,7:00PM EST,17,6.6," "," "
nhl.p.6766,Travis,Konecny,RW,PHI,BOS,BOS@PHI,7:00PM EST,19,7.2," "," "
nhl.p.6965,Philippe,Myers,D,PHI,BOS,BOS@PHI,7:00PM EST,11,5.2," "," "
nhl.p.7156,Carter,Hart,G,PHI,BOS,BOS@PHI,7:00PM EST,29,8.9," ",Yes
nhl.p.7912,Joel,Farabee,RW,PHI,BOS,BOS@PHI,7:00PM EST,10,3.1," "," "
nhl.p.6506,Oskar,Lindblom,LW,PHI,BOS,BOS@PHI,7:00PM EST,10,6.3,IR," "
nhl.p.5990,Samuel,Morin,D,PHI,BOS,BOS@PHI,7:00PM EST,10,-2.0,IR," "
nhl.p.7517,Nolan,Patrick,C,PHI,BOS,BOS@PHI,7:00PM EST,10,3.7,IR," "
nhl.p.6455,Mark,Friedman,D,PHI,BOS,BOS@PHI,7:00PM EST,10,1.0," "," "
nhl.p.7216,Connor,Bunnaman,C,PHI,BOS,BOS@PHI,7:00PM EST,10,1.2," "," "
nhl.p.3980,Jordan,Staal,C,CAR,WAS,CAR@WAS,7:00PM EST,14,4.4," "," "
nhl.p.4369,James,Reimer,G,CAR,WAS,CAR@WAS,7:00PM EST,33,12.2," ",No
nhl.p.4493,Jake,Gardiner,D,CAR,WAS,CAR@WAS,7:00PM EST,12,2.3," "," "
nhl.p.4965,Nino,Niederreiter,LW,CAR,WAS,CAR@WAS,7:00PM EST,15,4.2," "," "
nhl.p.5114,Petr,Mrazek,G,CAR,WAS,CAR@WAS,7:00PM EST,27,10.4," ",Yes
nhl.p.5370,Dougie,Hamilton,D,CAR,WAS,CAR@WAS,7:00PM EST,27,10.7," "," "
nhl.p.5414,Joel,Edmundson,D,CAR,WAS,CAR@WAS,7:00PM EST,10,3.9," "," "
nhl.p.5569,Ryan,Dzingel,LW,CAR,WAS,CAR@WAS,7:00PM EST,16,5.1," "," "
nhl.p.5698,Teuvo,Teravainen,RW,CAR,WAS,CAR@WAS,7:00PM EST,23,8.5," "," "
nhl.p.5736,Brock,McGinn,LW,CAR,WAS,CAR@WAS,7:00PM EST,10,2.6," "," "
nhl.p.5747,Jordan,Martinook,C,CAR,WAS,CAR@WAS,7:00PM EST,10,2.7," "," "
nhl.p.5810,Jaccob,Slavin,D,CAR,WAS,CAR@WAS,7:00PM EST,17,6.8," "," "
nhl.p.5946,Erik,Haula,C,CAR,WAS,CAR@WAS,7:00PM EST,16,6.6," "," "
nhl.p.6046,Brett,Pesce,D,CAR,WAS,CAR@WAS,7:00PM EST,16,5.0," "," "
nhl.p.6340,Trevor,van Riemsdyk,D,CAR,WAS,CAR@WAS,7:00PM EST,10,1.9," "," "
nhl.p.6373,Haydn,Fleury,D,CAR,WAS,CAR@WAS,7:00PM EST,10,2.6," "," "
nhl.p.6436,Warren,Foegele,RW,CAR,WAS,CAR@WAS,7:00PM EST,15,5.0," "," "
nhl.p.6465,Lucas,Wallmark,C,CAR,WAS,CAR@WAS,7:00PM EST,15,4.1," "," "
nhl.p.6777,Sebastian,Aho,C,CAR,WAS,CAR@WAS,7:00PM EST,27,8.3," "," "
nhl.p.7527,Martin,Necas,RW,CAR,WAS,CAR@WAS,7:00PM EST,14,4.8," "," "
nhl.p.7900,Andrei,Svechnikov,LW,CAR,WAS,CAR@WAS,7:00PM EST,24,8.7," "," "
nhl.p.3637,Alex,Ovechkin,LW,WAS,CAR,CAR@WAS,7:00PM EST,35,9.4," "," "
nhl.p.3801,T.J.,Oshie,RW,WAS,CAR,CAR@WAS,7:00PM EST,21,6.7," "," "
nhl.p.3982,Nicklas,Backstrom,C,WAS,CAR,CAR@WAS,7:00PM EST,25,7.1," "," "
nhl.p.4252,Lars,Eller,C,WAS,CAR,CAR@WAS,7:00PM EST,18,5.9," "," "
nhl.p.4503,John,Carlson,D,WAS,CAR,CAR@WAS,7:00PM EST,31,10.8," "," "
nhl.p.4588,Braden,Holtby,G,WAS,CAR,CAR@WAS,7:00PM EST,26,9.7," ",No
nhl.p.4766,Richard,Panik,RW,WAS,CAR,CAR@WAS,7:00PM EST,11,3.1,DTD," "
nhl.p.4986,Evgeny,Kuznetsov,C,WAS,CAR,CAR@WAS,7:00PM EST,26,7.5," "," "
nhl.p.5039,Radko,Gudas,D,WAS,CAR,CAR@WAS,7:00PM EST,16,4.6," "," "
nhl.p.5254,Dmitry,Orlov,D,WAS,CAR,CAR@WAS,7:00PM EST,17,5.0," "," "
nhl.p.5542,Travis,Boyd,C,WAS,CAR,CAR@WAS,7:00PM EST,13,4.0," "," "
nhl.p.5598,Carl,Hagelin,LW,WAS,CAR,CAR@WAS,7:00PM EST,10,3.0," "," "
nhl.p.5696,Tom,Wilson,RW,WAS,CAR,CAR@WAS,7:00PM EST,16,6.4," "," "
nhl.p.5779,Brendan,Leipsic,LW,WAS,CAR,CAR@WAS,7:00PM EST,10,2.4," "," "
nhl.p.5958,Nick,Jensen,D,WAS,CAR,CAR@WAS,7:00PM EST,10,1.8," "," "
nhl.p.6350,Nic,Dowd,C,WAS,CAR,CAR@WAS,7:00PM EST,10,3.1," "," "
nhl.p.6379,Jakub,Vrana,LW,WAS,CAR,CAR@WAS,7:00PM EST,22,7.6," "," "
nhl.p.6636,Garnet,Hathaway,RW,WAS,CAR,CAR@WAS,7:00PM EST,10,3.5," "," "
nhl.p.6764,Ilya,Samsonov,G,WAS,CAR,CAR@WAS,7:00PM EST,32,12.5," ",Yes
nhl.p.6799,Jonas,Siegenthaler,D,WAS,CAR,CAR@WAS,7:00PM EST,10,3.6," "," "
nhl.p.7103,Michal,Kempny,D,WAS,CAR,CAR@WAS,7:00PM EST,12,4.9," "," "
nhl.p.2468,Justin,Williams,RW,CAR,WAS,CAR@WAS,7:00PM EST,16,6.2," "," "
nhl.p.2637,Ryan,Miller,G,ANH,STL,ANH@STL,8:00PM EST,20,8.8," ",No
nhl.p.3357,Ryan,Getzlaf,C,ANH,STL,ANH@STL,8:00PM EST,16,6.2," "," "
nhl.p.4496,Michael,Del Zotto,D,ANH,STL,ANH@STL,8:00PM EST,10,3.6," "," "
nhl.p.4925,Korbinian,Holzer,D,ANH,STL,ANH@STL,8:00PM EST,10,3.0," "," "
nhl.p.4963,Erik,Gudbranson,D,ANH,STL,ANH@STL,8:00PM EST,10,3.1," "," "
nhl.p.4972,Cam,Fowler,D,ANH,STL,ANH@STL,8:00PM EST,17,5.9," "," "
nhl.p.5238,Adam,Henrique,C,ANH,STL,ANH@STL,8:00PM EST,17,5.5," "," "
nhl.p.5343,Jakob,Silfverberg,RW,ANH,STL,ANH@STL,8:00PM EST,17,6.0,DTD," "
nhl.p.5345,Nicolas,Deslauriers,LW,ANH,STL,ANH@STL,8:00PM EST,10,1.6," "," "
nhl.p.5407,John,Gibson,G,ANH,STL,ANH@STL,8:00PM EST,25,10.1," ",Yes
nhl.p.5525,Josh,Manson,D,ANH,STL,ANH@STL,8:00PM EST,10,2.5," "," "
nhl.p.5686,Hampus,Lindholm,D,ANH,STL,ANH@STL,8:00PM EST,12,4.4," "," "
nhl.p.5750,Devin,Shore,LW,ANH,STL,ANH@STL,8:00PM EST,10,2.5," "," "
nhl.p.6571,Ondrej,Kase,RW,ANH,STL,ANH@STL,8:00PM EST,15,4.4," "," "
nhl.p.6769,Jacob,Larsson,D,ANH,STL,ANH@STL,8:00PM EST,10,2.0," "," "
nhl.p.6788,Daniel,Sprong,RW,ANH,STL,ANH@STL,8:00PM EST,12,4.5," "," "
nhl.p.7067,Carter,Rowney,RW,ANH,STL,ANH@STL,8:00PM EST,10,2.4," "," "
nhl.p.7132,Max,Jones,LW,ANH,STL,ANH@STL,8:00PM EST,10,3.0,DTD," "
nhl.p.7138,Sam,Steel,C,ANH,STL,ANH@STL,8:00PM EST,10,2.9," "," "
nhl.p.7565,Max,Comtois,LW,ANH,STL,ANH@STL,8:00PM EST,10,2.9," "," "
nhl.p.7921,Isac,Lundestrom,C,ANH,STL,ANH@STL,8:00PM EST,10,2.1," "," "
nhl.p.5391,Rickard,Rakell,LW,ANH,STL,ANH@STL,8:00PM EST,18,6.5," "," "
nhl.p.5260,Derek,Grant,C,ANH,STL,ANH@STL,8:00PM EST,11,3.7,IR," "
nhl.p.6890,Troy,Terry,RW,ANH,STL,ANH@STL,8:00PM EST,10,2.0,IR," "
nhl.p.6376,Nick,Ritchie,LW,ANH,STL,ANH@STL,8:00PM EST,10,3.6,IR," "
nhl.p.3331,Ryan,Kesler,C,ANH,STL,ANH@STL,8:00PM EST,10,2.4,IR," "
nhl.p.3366,Patrick,Eaves,RW,ANH,STL,ANH@STL,8:00PM EST,10,0.9,IR," "
nhl.p.3103,Jay,Bouwmeester,D,STL,ANH,ANH@STL,8:00PM EST,10,2.8," "," "
nhl.p.3136,Alexander,Steen,LW,STL,ANH,ANH@STL,8:00PM EST,18,4.6," "," "
nhl.p.3947,Troy,Brouwer,RW,STL,ANH,ANH@STL,8:00PM EST,10,2.1," "," "
nhl.p.4265,David,Perron,RW,STL,ANH,ANH@STL,8:00PM EST,23,8.2," "," "
nhl.p.4474,Alex,Pietrangelo,D,STL,ANH,ANH@STL,8:00PM EST,23,9.0," "," "
nhl.p.4589,Jake,Allen,G,STL,ANH,ANH@STL,8:00PM EST,36,12.2," ",No
nhl.p.4629,Tyler,Bozak,RW,STL,ANH,ANH@STL,8:00PM EST,17,4.7," "," "
nhl.p.4685,Brayden,Schenn,C,STL,ANH,ANH@STL,8:00PM EST,19,6.5," "," "
nhl.p.4758,Robert,Bortuzzo,D,STL,ANH,ANH@STL,8:00PM EST,11,3.0," "," "
nhl.p.4786,Ryan,O'Reilly,C,STL,ANH,ANH@STL,8:00PM EST,21,6.4," "," "
nhl.p.4974,Jaden,Schwartz,LW,STL,ANH,ANH@STL,8:00PM EST,19,7.2," "," "
nhl.p.5010,Justin,Faulk,D,STL,ANH,ANH@STL,8:00PM EST,14,4.0," "," "
nhl.p.5454,Jordan,Binnington,G,STL,ANH,ANH@STL,8:00PM EST,34,12.4," ",Yes
nhl.p.5758,MacKenzie,MacEachern,LW,STL,ANH,ANH@STL,8:00PM EST,10,2.6," "," "
nhl.p.5772,Oskar,Sundqvist,LW,STL,ANH,ANH@STL,8:00PM EST,15,4.8," "," "
nhl.p.5777,Colton,Parayko,D,STL,ANH,ANH@STL,8:00PM EST,16,5.3,DTD," "
nhl.p.6014,Jacob,de la Rose,C,STL,ANH,ANH@STL,8:00PM EST,10,2.4," "," "
nhl.p.6041,Zach,Sanford,LW,STL,ANH,ANH@STL,8:00PM EST,10,3.2," "," "
nhl.p.6402,Ivan,Barbashev,RW,STL,ANH,ANH@STL,8:00PM EST,11,3.7," "," "
nhl.p.6798,Vince,Dunn,D,STL,ANH,ANH@STL,8:00PM EST,17,4.7," "," "
nhl.p.6869,Niko,Mikkola,D,STL,ANH,ANH@STL,8:00PM EST,14,4.6," "," "
nhl.p.7143,Jordan,Kyrou,RW,STL,ANH,ANH@STL,8:00PM EST,10,3.7," "," "
nhl.p.7535,Robert,Thomas,C,STL,ANH,ANH@STL,8:00PM EST,17,4.6," "," "
nhl.p.6544,Sammy,Blais,RW,STL,ANH,ANH@STL,8:00PM EST,10,3.9,IR," "
nhl.p.4976,Vladimir,Tarasenko,RW,STL,ANH,ANH@STL,8:00PM EST,10,7.8,IR," "
nhl.p.6820,Erik,Foley,LW,STL,ANH,ANH@STL,8:00PM EST,10,0.0,IR," "
nhl.p.6467,Chase,De Leo,C,ANH,STL,ANH@STL,8:00PM EST,15,5.6," "," "
nhl.p.4675,Carl,Gunnarsson,D,STL,ANH,ANH@STL,8:00PM EST,10,2.9,IR," "
